review_id	paper_id	record_type	record_id	field_name	original_value	candidate_interpretation	decision	decision_status	evidence_ids	decision_rule	reviewer_status	notes
RV-P0008-0001	P0008	replicate	R-P0008-GEO-001	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0002	P0008	batch	B-P0008-GEO-001	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0003	P0008	replicate	R-P0008-GEO-002	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0004	P0008	batch	B-P0008-GEO-002	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0005	P0008	replicate	R-P0008-GEO-003	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0006	P0008	batch	B-P0008-GEO-003	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0007	P0008	replicate	R-P0008-GEO-004	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0008	P0008	batch	B-P0008-GEO-004	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0009	P0008	replicate	R-P0008-GEO-005	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0010	P0008	batch	B-P0008-GEO-005	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
